Model,Metric,Score,Smoothing Constant (w)
Exponential Smoothing-log,MAPE,0.0637,0.5
Exponential Smoothing-log,MAD,3.4532,0.5
Exponential Smoothing-log,RMSE,6.3691,0.5
Exponential Smoothing-sqrt,MAPE,0.0636,0.5
Exponential Smoothing-sqrt,MAD,3.4482,0.5
Exponential Smoothing-sqrt,RMSE,6.365,0.5
Exponential Smoothing,MAPE,0.0634,0.51
Exponential Smoothing,MAD,3.4369,0.51
Exponential Smoothing,RMSE,6.3556,0.51
Exponential Smoothing-log,MAPE,0.0636,0.51
Exponential Smoothing-log,MAD,3.4462,0.51
Exponential Smoothing-log,RMSE,6.3634,0.51
Exponential Smoothing-sqrt,MAPE,0.0635,0.51
Exponential Smoothing-sqrt,MAD,3.4416,0.51
Exponential Smoothing-sqrt,RMSE,6.3595,0.51
Exponential Smoothing,MAPE,0.0633,0.52
Exponential Smoothing,MAD,3.4305,0.52
Exponential Smoothing,RMSE,6.3502,0.52
Exponential Smoothing-log,MAPE,0.0635,0.52
Exponential Smoothing-log,MAD,3.4395,0.52
Exponential Smoothing-log,RMSE,6.3578,0.52
Exponential Smoothing-sqrt,MAPE,0.0634,0.52
Exponential Smoothing-sqrt,MAD,3.435,0.52
Exponential Smoothing-sqrt,RMSE,6.354,0.52
Exponential Smoothing,MAPE,0.0632,0.53
Exponential Smoothing,MAD,3.4241,0.53
Exponential Smoothing,RMSE,6.3449,0.53
Exponential Smoothing-log,MAPE,0.0633,0.53
Exponential Smoothing-log,MAD,3.4328,0.53
Exponential Smoothing-log,RMSE,6.3522,0.53
Exponential Smoothing-sqrt,MAPE,0.0632,0.53
Exponential Smoothing-sqrt,MAD,3.4284,0.53
Exponential Smoothing-sqrt,RMSE,6.3485,0.53
Exponential Smoothing,MAPE,0.063,0.54
Exponential Smoothing,MAD,3.4177,0.54
Exponential Smoothing,RMSE,6.3396,0.54
Exponential Smoothing-log,MAPE,0.0632,0.54
Exponential Smoothing-log,MAD,3.4262,0.54
Exponential Smoothing-log,RMSE,6.3467,0.54
Exponential Smoothing-sqrt,MAPE,0.0631,0.54
Exponential Smoothing-sqrt,MAD,3.4219,0.54
Exponential Smoothing-sqrt,RMSE,6.3431,0.54
Exponential Smoothing,MAPE,0.0629,0.55
Exponential Smoothing,MAD,3.4114,0.55
Exponential Smoothing,RMSE,6.3345,0.55
Exponential Smoothing-log,MAPE,0.0631,0.55
Exponential Smoothing-log,MAD,3.4196,0.55
Exponential Smoothing-log,RMSE,6.3412,0.55
Exponential Smoothing-sqrt,MAPE,0.063,0.55
Exponential Smoothing-sqrt,MAD,3.4155,0.55
Exponential Smoothing-sqrt,RMSE,6.3378,0.55
Exponential Smoothing,MAPE,0.0628,0.56
Exponential Smoothing,MAD,3.4052,0.56
Exponential Smoothing,RMSE,6.3293,0.56
Exponential Smoothing-log,MAPE,0.0629,0.56
Exponential Smoothing-log,MAD,3.4131,0.56
Exponential Smoothing-log,RMSE,6.3358,0.56
Exponential Smoothing-sqrt,MAPE,0.0629,0.56
Exponential Smoothing-sqrt,MAD,3.4091,0.56
Exponential Smoothing-sqrt,RMSE,6.3326,0.56
Exponential Smoothing,MAPE,0.0627,0.57
Exponential Smoothing,MAD,3.399,0.57
Exponential Smoothing,RMSE,6.3243,0.57
Exponential Smoothing-log,MAPE,0.0628,0.57
Exponential Smoothing-log,MAD,3.4067,0.57
Exponential Smoothing-log,RMSE,6.3306,0.57
Exponential Smoothing-sqrt,MAPE,0.0627,0.57
Exponential Smoothing-sqrt,MAD,3.4028,0.57
Exponential Smoothing-sqrt,RMSE,6.3274,0.57
Exponential Smoothing,MAPE,0.0626,0.58
Exponential Smoothing,MAD,3.393,0.58
Exponential Smoothing,RMSE,6.3194,0.58
Exponential Smoothing-log,MAPE,0.0627,0.58
Exponential Smoothing-log,MAD,3.4003,0.58
Exponential Smoothing-log,RMSE,6.3254,0.58
Exponential Smoothing-sqrt,MAPE,0.0626,0.58
Exponential Smoothing-sqrt,MAD,3.3966,0.58
Exponential Smoothing-sqrt,RMSE,6.3224,0.58
Exponential Smoothing,MAPE,0.0624,0.59
Exponential Smoothing,MAD,3.387,0.59
Exponential Smoothing,RMSE,6.3145,0.59
Exponential Smoothing-log,MAPE,0.0626,0.59
Exponential Smoothing-log,MAD,3.3941,0.59
Exponential Smoothing-log,RMSE,6.3203,0.59
Exponential Smoothing-sqrt,MAPE,0.0625,0.59
Exponential Smoothing-sqrt,MAD,3.3905,0.59
Exponential Smoothing-sqrt,RMSE,6.3174,0.59
Exponential Smoothing,MAPE,0.0623,0.6
Exponential Smoothing,MAD,3.3811,0.6
Exponential Smoothing,RMSE,6.3097,0.6
Exponential Smoothing-log,MAPE,0.0625,0.6
Exponential Smoothing-log,MAD,3.3879,0.6
Exponential Smoothing-log,RMSE,6.3153,0.6
Exponential Smoothing-sqrt,MAPE,0.0624,0.6
Exponential Smoothing-sqrt,MAD,3.3845,0.6
Exponential Smoothing-sqrt,RMSE,6.3125,0.6
Exponential Smoothing,MAPE,0.0622,0.61
Exponential Smoothing,MAD,3.3753,0.61
Exponential Smoothing,RMSE,6.3051,0.61
Exponential Smoothing-log,MAPE,0.0623,0.61
Exponential Smoothing-log,MAD,3.3819,0.61
Exponential Smoothing-log,RMSE,6.3104,0.61
Exponential Smoothing-sqrt,MAPE,0.0623,0.61
Exponential Smoothing-sqrt,MAD,3.3786,0.61
Exponential Smoothing-sqrt,RMSE,6.3077,0.61
Exponential Smoothing,MAPE,0.0621,0.62
Exponential Smoothing,MAD,3.3696,0.62
Exponential Smoothing,RMSE,6.3005,0.62
Exponential Smoothing-log,MAPE,0.0622,0.62
Exponential Smoothing-log,MAD,3.376,0.62
Exponential Smoothing-log,RMSE,6.3056,0.62
Exponential Smoothing-sqrt,MAPE,0.0622,0.62
Exponential Smoothing-sqrt,MAD,3.3728,0.62
Exponential Smoothing-sqrt,RMSE,6.303,0.62
Exponential Smoothing,MAPE,0.062,0.63
Exponential Smoothing,MAD,3.364,0.63
Exponential Smoothing,RMSE,6.2961,0.63
Exponential Smoothing-log,MAPE,0.0621,0.63
Exponential Smoothing-log,MAD,3.3701,0.63
Exponential Smoothing-log,RMSE,6.3009,0.63
Exponential Smoothing-sqrt,MAPE,0.0621,0.63
Exponential Smoothing-sqrt,MAD,3.3671,0.63
Exponential Smoothing-sqrt,RMSE,6.2985,0.63
Exponential Smoothing,MAPE,0.0619,0.64
Exponential Smoothing,MAD,3.3586,0.64
Exponential Smoothing,RMSE,6.2917,0.64
Exponential Smoothing-log,MAPE,0.062,0.64
Exponential Smoothing-log,MAD,3.3644,0.64
Exponential Smoothing-log,RMSE,6.2963,0.64
Exponential Smoothing-sqrt,MAPE,0.0619,0.64
Exponential Smoothing-sqrt,MAD,3.3615,0.64
Exponential Smoothing-sqrt,RMSE,6.294,0.64
Exponential Smoothing,MAPE,0.0618,0.65
Exponential Smoothing,MAD,3.3532,0.65
Exponential Smoothing,RMSE,6.2874,0.65
Exponential Smoothing-log,MAPE,0.0619,0.65
Exponential Smoothing-log,MAD,3.3588,0.65
Exponential Smoothing-log,RMSE,6.2918,0.65
Exponential Smoothing-sqrt,MAPE,0.0618,0.65
Exponential Smoothing-sqrt,MAD,3.356,0.65
Exponential Smoothing-sqrt,RMSE,6.2896,0.65
Exponential Smoothing,MAPE,0.0617,0.66
Exponential Smoothing,MAD,3.3479,0.66
Exponential Smoothing,RMSE,6.2832,0.66
Exponential Smoothing-log,MAPE,0.0618,0.66
Exponential Smoothing-log,MAD,3.3532,0.66
Exponential Smoothing-log,RMSE,6.2874,0.66
Exponential Smoothing-sqrt,MAPE,0.0617,0.66
Exponential Smoothing-sqrt,MAD,3.3506,0.66
Exponential Smoothing-sqrt,RMSE,6.2853,0.66
Exponential Smoothing,MAPE,0.0616,0.67
Exponential Smoothing,MAD,3.3427,0.67
Exponential Smoothing,RMSE,6.2791,0.67
Exponential Smoothing-log,MAPE,0.0617,0.67
Exponential Smoothing-log,MAD,3.3478,0.67
Exponential Smoothing-log,RMSE,6.2832,0.67
Exponential Smoothing-sqrt,MAPE,0.0616,0.67
Exponential Smoothing-sqrt,MAD,3.3453,0.67
Exponential Smoothing-sqrt,RMSE,6.2811,0.67
Exponential Smoothing,MAPE,0.0615,0.68
Exponential Smoothing,MAD,3.3376,0.68
Exponential Smoothing,RMSE,6.2751,0.68
Exponential Smoothing-log,MAPE,0.0616,0.68
Exponential Smoothing-log,MAD,3.3425,0.68
Exponential Smoothing-log,RMSE,6.279,0.68
Exponential Smoothing-sqrt,MAPE,0.0615,0.68
Exponential Smoothing-sqrt,MAD,3.34,0.68
Exponential Smoothing-sqrt,RMSE,6.277,0.68
Exponential Smoothing,MAPE,0.0614,0.69
Exponential Smoothing,MAD,3.3326,0.69
Exponential Smoothing,RMSE,6.2712,0.69
Exponential Smoothing-log,MAPE,0.0615,0.69
Exponential Smoothing-log,MAD,3.3373,0.69
Exponential Smoothing-log,RMSE,6.2749,0.69
Exponential Smoothing-sqrt,MAPE,0.0614,0.69
Exponential Smoothing-sqrt,MAD,3.3349,0.69
Exponential Smoothing-sqrt,RMSE,6.273,0.69
Exponential Smoothing,MAPE,0.0613,0.7
Exponential Smoothing,MAD,3.3277,0.7
Exponential Smoothing,RMSE,6.2674,0.7
Exponential Smoothing-log,MAPE,0.0614,0.7
Exponential Smoothing-log,MAD,3.3321,0.7
Exponential Smoothing-log,RMSE,6.2708,0.7
Exponential Smoothing-sqrt,MAPE,0.0613,0.7
Exponential Smoothing-sqrt,MAD,3.3299,0.7
Exponential Smoothing-sqrt,RMSE,6.2691,0.7
Exponential Smoothing,MAPE,0.0612,0.71
Exponential Smoothing,MAD,3.3229,0.71
Exponential Smoothing,RMSE,6.2636,0.71
Exponential Smoothing-log,MAPE,0.0613,0.71
Exponential Smoothing-log,MAD,3.3271,0.71
Exponential Smoothing-log,RMSE,6.2669,0.71
Exponential Smoothing-sqrt,MAPE,0.0612,0.71
Exponential Smoothing-sqrt,MAD,3.325,0.71
Exponential Smoothing-sqrt,RMSE,6.2652,0.71
Exponential Smoothing,MAPE,0.0611,0.72
Exponential Smoothing,MAD,3.3181,0.72
Exponential Smoothing,RMSE,6.2599,0.72
Exponential Smoothing-log,MAPE,0.0612,0.72
Exponential Smoothing-log,MAD,3.3221,0.72
Exponential Smoothing-log,RMSE,6.263,0.72
Exponential Smoothing-sqrt,MAPE,0.0611,0.72
Exponential Smoothing-sqrt,MAD,3.3201,0.72
Exponential Smoothing-sqrt,RMSE,6.2615,0.72
Exponential Smoothing,MAPE,0.061,0.73
Exponential Smoothing,MAD,3.3134,0.73
Exponential Smoothing,RMSE,6.2563,0.73
Exponential Smoothing-log,MAPE,0.0611,0.73
Exponential Smoothing-log,MAD,3.3172,0.73
Exponential Smoothing-log,RMSE,6.2592,0.73
Exponential Smoothing-sqrt,MAPE,0.0611,0.73
Exponential Smoothing-sqrt,MAD,3.3153,0.73
Exponential Smoothing-sqrt,RMSE,6.2577,0.73
Exponential Smoothing,MAPE,0.0609,0.74
Exponential Smoothing,MAD,3.3091,0.74
Exponential Smoothing,RMSE,6.2527,0.74
Exponential Smoothing-log,MAPE,0.061,0.74
Exponential Smoothing-log,MAD,3.3124,0.74
Exponential Smoothing-log,RMSE,6.2555,0.74
Exponential Smoothing-sqrt,MAPE,0.061,0.74
Exponential Smoothing-sqrt,MAD,3.3107,0.74
Exponential Smoothing-sqrt,RMSE,6.2541,0.74
Exponential Smoothing,MAPE,0.0609,0.75
Exponential Smoothing,MAD,3.3048,0.75
Exponential Smoothing,RMSE,6.2492,0.75
Exponential Smoothing-log,MAPE,0.0609,0.75
Exponential Smoothing-log,MAD,3.308,0.75
Exponential Smoothing-log,RMSE,6.2518,0.75
Exponential Smoothing-sqrt,MAPE,0.0609,0.75
Exponential Smoothing-sqrt,MAD,3.3064,0.75
Exponential Smoothing-sqrt,RMSE,6.2505,0.75
Exponential Smoothing,MAPE,0.0608,0.76
Exponential Smoothing,MAD,3.3006,0.76
Exponential Smoothing,RMSE,6.2457,0.76
Exponential Smoothing-log,MAPE,0.0608,0.76
Exponential Smoothing-log,MAD,3.3036,0.76
Exponential Smoothing-log,RMSE,6.2482,0.76
Exponential Smoothing-sqrt,MAPE,0.0608,0.76
Exponential Smoothing-sqrt,MAD,3.3021,0.76
Exponential Smoothing-sqrt,RMSE,6.2469,0.76
Exponential Smoothing,MAPE,0.0607,0.77
Exponential Smoothing,MAD,3.2964,0.77
Exponential Smoothing,RMSE,6.2422,0.77
Exponential Smoothing-log,MAPE,0.0607,0.77
Exponential Smoothing-log,MAD,3.2992,0.77
Exponential Smoothing-log,RMSE,6.2446,0.77
Exponential Smoothing-sqrt,MAPE,0.0607,0.77
Exponential Smoothing-sqrt,MAD,3.2978,0.77
Exponential Smoothing-sqrt,RMSE,6.2434,0.77
Exponential Smoothing,MAPE,0.0606,0.78
Exponential Smoothing,MAD,3.2922,0.78
Exponential Smoothing,RMSE,6.2388,0.78
Exponential Smoothing-log,MAPE,0.0607,0.78
Exponential Smoothing-log,MAD,3.2949,0.78
Exponential Smoothing-log,RMSE,6.241,0.78
Exponential Smoothing-sqrt,MAPE,0.0606,0.78
Exponential Smoothing-sqrt,MAD,3.2936,0.78
Exponential Smoothing-sqrt,RMSE,6.2399,0.78
Exponential Smoothing,MAPE,0.0605,0.79
Exponential Smoothing,MAD,3.2881,0.79
Exponential Smoothing,RMSE,6.2354,0.79
Exponential Smoothing-log,MAPE,0.0606,0.79
Exponential Smoothing-log,MAD,3.2906,0.79
Exponential Smoothing-log,RMSE,6.2375,0.79
Exponential Smoothing-sqrt,MAPE,0.0606,0.79
Exponential Smoothing-sqrt,MAD,3.2893,0.79
Exponential Smoothing-sqrt,RMSE,6.2364,0.79
Exponential Smoothing,MAPE,0.0605,0.8
Exponential Smoothing,MAD,3.2839,0.8
Exponential Smoothing,RMSE,6.232,0.8
Exponential Smoothing-log,MAPE,0.0605,0.8
Exponential Smoothing-log,MAD,3.2863,0.8
Exponential Smoothing-log,RMSE,6.2339,0.8
Exponential Smoothing-sqrt,MAPE,0.0605,0.8
Exponential Smoothing-sqrt,MAD,3.2851,0.8
Exponential Smoothing-sqrt,RMSE,6.233,0.8
Exponential Smoothing,MAPE,0.0604,0.81
Exponential Smoothing,MAD,3.2798,0.81
Exponential Smoothing,RMSE,6.2286,0.81
Exponential Smoothing-log,MAPE,0.0604,0.81
Exponential Smoothing-log,MAD,3.282,0.81
Exponential Smoothing-log,RMSE,6.2304,0.81
Exponential Smoothing-sqrt,MAPE,0.0604,0.81
Exponential Smoothing-sqrt,MAD,3.2809,0.81
Exponential Smoothing-sqrt,RMSE,6.2295,0.81
Exponential Smoothing,MAPE,0.0603,0.82
Exponential Smoothing,MAD,3.2756,0.82
Exponential Smoothing,RMSE,6.2252,0.82
Exponential Smoothing-log,MAPE,0.0603,0.82
Exponential Smoothing-log,MAD,3.2777,0.82
Exponential Smoothing-log,RMSE,6.2269,0.82
Exponential Smoothing-sqrt,MAPE,0.0603,0.82
Exponential Smoothing-sqrt,MAD,3.2766,0.82
Exponential Smoothing-sqrt,RMSE,6.2261,0.82
Exponential Smoothing,MAPE,0.0602,0.83
Exponential Smoothing,MAD,3.2714,0.83
Exponential Smoothing,RMSE,6.2218,0.83
Exponential Smoothing-log,MAPE,0.0603,0.83
Exponential Smoothing-log,MAD,3.2733,0.83
Exponential Smoothing-log,RMSE,6.2234,0.83
Exponential Smoothing-sqrt,MAPE,0.0602,0.83
Exponential Smoothing-sqrt,MAD,3.2723,0.83
Exponential Smoothing-sqrt,RMSE,6.2226,0.83
Exponential Smoothing,MAPE,0.0601,0.84
Exponential Smoothing,MAD,3.2671,0.84
Exponential Smoothing,RMSE,6.2184,0.84
Exponential Smoothing-log,MAPE,0.0602,0.84
Exponential Smoothing-log,MAD,3.2689,0.84
Exponential Smoothing-log,RMSE,6.2198,0.84
Exponential Smoothing-sqrt,MAPE,0.0601,0.84
Exponential Smoothing-sqrt,MAD,3.268,0.84
Exponential Smoothing-sqrt,RMSE,6.2191,0.84
Exponential Smoothing,MAPE,0.0601,0.85
Exponential Smoothing,MAD,3.2628,0.85
Exponential Smoothing,RMSE,6.2149,0.85
Exponential Smoothing-log,MAPE,0.0601,0.85
Exponential Smoothing-log,MAD,3.2645,0.85
Exponential Smoothing-log,RMSE,6.2162,0.85
Exponential Smoothing-sqrt,MAPE,0.0601,0.85
Exponential Smoothing-sqrt,MAD,3.2636,0.85
Exponential Smoothing-sqrt,RMSE,6.2156,0.85
Exponential Smoothing,MAPE,0.06,0.86
Exponential Smoothing,MAD,3.2584,0.86
Exponential Smoothing,RMSE,6.2114,0.86
Exponential Smoothing-log,MAPE,0.06,0.86
Exponential Smoothing-log,MAD,3.26,0.86
Exponential Smoothing-log,RMSE,6.2126,0.86
Exponential Smoothing-sqrt,MAPE,0.06,0.86
Exponential Smoothing-sqrt,MAD,3.2592,0.86
Exponential Smoothing-sqrt,RMSE,6.212,0.86
Exponential Smoothing,MAPE,0.0599,0.87
Exponential Smoothing,MAD,3.254,0.87
Exponential Smoothing,RMSE,6.2078,0.87
Exponential Smoothing-log,MAPE,0.0599,0.87
Exponential Smoothing-log,MAD,3.2554,0.87
Exponential Smoothing-log,RMSE,6.209,0.87
Exponential Smoothing-sqrt,MAPE,0.0599,0.87
Exponential Smoothing-sqrt,MAD,3.2547,0.87
Exponential Smoothing-sqrt,RMSE,6.2084,0.87
Exponential Smoothing,MAPE,0.0598,0.88
Exponential Smoothing,MAD,3.2494,0.88
Exponential Smoothing,RMSE,6.2042,0.88
Exponential Smoothing-log,MAPE,0.0598,0.88
Exponential Smoothing-log,MAD,3.2507,0.88
Exponential Smoothing-log,RMSE,6.2052,0.88
Exponential Smoothing-sqrt,MAPE,0.0598,0.88
Exponential Smoothing-sqrt,MAD,3.2501,0.88
Exponential Smoothing-sqrt,RMSE,6.2047,0.88
Exponential Smoothing,MAPE,0.0597,0.89
Exponential Smoothing,MAD,3.2448,0.89
Exponential Smoothing,RMSE,6.2005,0.89
Exponential Smoothing-log,MAPE,0.0597,0.89
Exponential Smoothing-log,MAD,3.246,0.89
Exponential Smoothing-log,RMSE,6.2015,0.89
Exponential Smoothing-sqrt,MAPE,0.0597,0.89
Exponential Smoothing-sqrt,MAD,3.2454,0.89
Exponential Smoothing-sqrt,RMSE,6.201,0.89
Exponential Smoothing,MAPE,0.0596,0.9
Exponential Smoothing,MAD,3.24,0.9
Exponential Smoothing,RMSE,6.1968,0.9
Exponential Smoothing-log,MAPE,0.0596,0.9
Exponential Smoothing-log,MAD,3.2411,0.9
Exponential Smoothing-log,RMSE,6.1976,0.9
Exponential Smoothing-sqrt,MAPE,0.0596,0.9
Exponential Smoothing-sqrt,MAD,3.2405,0.9
Exponential Smoothing-sqrt,RMSE,6.1972,0.9
Exponential Smoothing,MAPE,0.0595,0.91
Exponential Smoothing,MAD,3.2351,0.91
Exponential Smoothing,RMSE,6.1929,0.91
Exponential Smoothing-log,MAPE,0.0595,0.91
Exponential Smoothing-log,MAD,3.2361,0.91
Exponential Smoothing-log,RMSE,6.1936,0.91
Exponential Smoothing-sqrt,MAPE,0.0595,0.91
Exponential Smoothing-sqrt,MAD,3.2356,0.91
Exponential Smoothing-sqrt,RMSE,6.1933,0.91
Exponential Smoothing,MAPE,0.0594,0.92
Exponential Smoothing,MAD,3.2301,0.92
Exponential Smoothing,RMSE,6.1889,0.92
Exponential Smoothing-log,MAPE,0.0594,0.92
Exponential Smoothing-log,MAD,3.2309,0.92
Exponential Smoothing-log,RMSE,6.1896,0.92
Exponential Smoothing-sqrt,MAPE,0.0594,0.92
Exponential Smoothing-sqrt,MAD,3.2305,0.92
Exponential Smoothing-sqrt,RMSE,6.1893,0.92
Exponential Smoothing,MAPE,0.0593,0.93
Exponential Smoothing,MAD,3.2249,0.93
Exponential Smoothing,RMSE,6.1849,0.93
Exponential Smoothing-log,MAPE,0.0593,0.93
Exponential Smoothing-log,MAD,3.2256,0.93
Exponential Smoothing-log,RMSE,6.1855,0.93
Exponential Smoothing-sqrt,MAPE,0.0593,0.93
Exponential Smoothing-sqrt,MAD,3.2252,0.93
Exponential Smoothing-sqrt,RMSE,6.1852,0.93
Exponential Smoothing,MAPE,0.0592,0.94
Exponential Smoothing,MAD,3.2195,0.94
Exponential Smoothing,RMSE,6.1807,0.94
Exponential Smoothing-log,MAPE,0.0592,0.94
Exponential Smoothing-log,MAD,3.2201,0.94
Exponential Smoothing-log,RMSE,6.1812,0.94
Exponential Smoothing-sqrt,MAPE,0.0592,0.94
Exponential Smoothing-sqrt,MAD,3.2198,0.94
Exponential Smoothing-sqrt,RMSE,6.1809,0.94
Exponential Smoothing,MAPE,0.0591,0.95
Exponential Smoothing,MAD,3.214,0.95
Exponential Smoothing,RMSE,6.1764,0.95
Exponential Smoothing-log,MAPE,0.0591,0.95
Exponential Smoothing-log,MAD,3.2145,0.95
Exponential Smoothing-log,RMSE,6.1768,0.95
Exponential Smoothing-sqrt,MAPE,0.0591,0.95
Exponential Smoothing-sqrt,MAD,3.2142,0.95
Exponential Smoothing-sqrt,RMSE,6.1766,0.95
Exponential Smoothing,MAPE,0.059,0.96
Exponential Smoothing,MAD,3.2082,0.96
Exponential Smoothing,RMSE,6.172,0.96
Exponential Smoothing-log,MAPE,0.059,0.96
Exponential Smoothing-log,MAD,3.2086,0.96
Exponential Smoothing-log,RMSE,6.1723,0.96
Exponential Smoothing-sqrt,MAPE,0.059,0.96
Exponential Smoothing-sqrt,MAD,3.2084,0.96
Exponential Smoothing-sqrt,RMSE,6.1721,0.96
Exponential Smoothing,MAPE,0.0589,0.97
Exponential Smoothing,MAD,3.2025,0.97
Exponential Smoothing,RMSE,6.1674,0.97
Exponential Smoothing-log,MAPE,0.0589,0.97
Exponential Smoothing-log,MAD,3.2028,0.97
Exponential Smoothing-log,RMSE,6.1676,0.97
Exponential Smoothing-sqrt,MAPE,0.0589,0.97
Exponential Smoothing-sqrt,MAD,3.2026,0.97
Exponential Smoothing-sqrt,RMSE,6.1675,0.97
Exponential Smoothing,MAPE,0.0588,0.98
Exponential Smoothing,MAD,3.1968,0.98
Exponential Smoothing,RMSE,6.1627,0.98
Exponential Smoothing-log,MAPE,0.0588,0.98
Exponential Smoothing-log,MAD,3.197,0.98
Exponential Smoothing-log,RMSE,6.1628,0.98
Exponential Smoothing-sqrt,MAPE,0.0588,0.98
Exponential Smoothing-sqrt,MAD,3.1969,0.98
Exponential Smoothing-sqrt,RMSE,6.1627,0.98
Exponential Smoothing,MAPE,0.0587,0.99
Exponential Smoothing,MAD,3.1909,0.99
Exponential Smoothing,RMSE,6.1578,0.99
Exponential Smoothing-log,MAPE,0.0587,0.99
Exponential Smoothing-log,MAD,3.191,0.99
Exponential Smoothing-log,RMSE,6.1579,0.99
Exponential Smoothing-sqrt,MAPE,0.0587,0.99
Exponential Smoothing-sqrt,MAD,3.1909,0.99
Exponential Smoothing-sqrt,RMSE,6.1578,0.99
Exponential Smoothing,MAPE,0.0586,1.0
Exponential Smoothing,MAD,3.1847,1.0
Exponential Smoothing,RMSE,6.1527,1.0
Exponential Smoothing-log,MAPE,0.0586,1.0
Exponential Smoothing-log,MAD,3.1847,1.0
Exponential Smoothing-log,RMSE,6.1527,1.0
Exponential Smoothing-sqrt,MAPE,0.0586,1.0
Exponential Smoothing-sqrt,MAD,3.1847,1.0
Exponential Smoothing-sqrt,RMSE,6.1527,1.0
